"region","byggår","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0180C1010","2001-2010",..,..,..,..,..,2,2,2,2,2,2,2,2,2
"0180C1010","2011-2020",..,..,..,..,..,..,..,5,5,5,6,6,6,6
"0180C1010","2021-2030",..,..,..,..,..,..,..,..,..,..,..,4,4,4
"0180C1020","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1020","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1020","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,2
"0180C1030","2001-2010",6,9,9,9,9,9,9,9,7,9,9,9,9,9
"0180C1030","2011-2020",4,4,4,4,5,5,5,5,5,11,11,11,11,11
"0180C1030","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1040","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C1040","2011-2020",..,1,4,4,4,10,10,10,10,10,10,10,10,10
"0180C1040","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,2,3
"0180C1050","2001-2010",12,12,12,12,12,12,12,12,12,12,12,12,12,12
"0180C1050","2011-2020",..,..,..,..,..,..,1,1,..,1,1,1,1,1
"0180C1050","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,6,6
"0180C1060","2001-2010",..,..,..,..,..,6,6,6,6,6,6,6,6,6
"0180C1060","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1060","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,2,2
"0180C1070","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1070","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1070","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1080","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1080","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1080","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1090","2001-2010",3,3,3,3,3,3,3,3,1,3,3,3,3,3
"0180C1090","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1090","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1100","2001-2010",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"0180C1100","2011-2020",..,..,..,..,..,..,..,..,..,..,1,1,1,1
"0180C1100","2021-2030",..,..,..,..,..,..,..,..,..,..,..,9,19,25
"0180C1110","2001-2010",4,4,4,4,4,9,9,9,9,9,9,9,9,9
"0180C1110","2011-2020",..,..,..,..,2,7,9,9,9,9,9,9,9,9
"0180C1110","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1120","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1120","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1120","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1130","2001-2010",26,26,26,26,26,26,26,26,26,26,26,26,26,26
"0180C1130","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1130","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1140","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1140","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1140","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1150","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1150","2011-2020",..,2,2,2,2,3,3,3,4,6,6,6,6,6
"0180C1150","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,1
"0180C1160","2001-2010",1,1,1,1,1,1,1,1,..,1,1,1,1,1
"0180C1160","2011-2020",..,..,2,2,2,2,2,2,2,2,2,2,2,2
"0180C1160","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,2,2
"0180C1170","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1170","2011-2020",..,..,..,..,..,..,..,..,..,1,1,1,1,1
"0180C1170","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,1,1
"0180C1180","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1180","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,1,1
"0180C1180","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1190","2001-2010",9,9,9,9,9,9,9,9,9,9,9,9,9,9
"0180C1190","2011-2020",..,4,8,8,8,8,8,8,8,8,8,8,8,8
"0180C1190","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1200","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C1200","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1200","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1210","2001-2010",15,15,15,15,15,15,15,15,14,15,15,15,15,15
"0180C1210","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1210","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1220","2001-2010",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"0180C1220","2011-2020",..,..,..,..,..,3,3,3,3,3,4,11,11,11
"0180C1220","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1230","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C1230","2011-2020",..,..,..,..,..,..,..,..,..,2,2,2,2,2
"0180C1230","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1240","2001-2010",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"0180C1240","2011-2020",..,67,118,119,119,124,147,304,323,340,342,342,342,342
"0180C1240","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,1
"0180C1250","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1250","2011-2020",1,1,1,1,1,1,1,1,4,6,6,6,6,6
"0180C1250","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,1
"0180C1260","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C1260","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1260","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1270","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1270","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1270","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,2
"0180C1280","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C1280","2011-2020",..,..,..,..,..,..,..,..,1,1,1,1,1,1
"0180C1280","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1290","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1290","2011-2020",..,..,..,..,..,..,..,..,..,..,..,3,3,3
"0180C1290","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,2,2
"0180C1300","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1300","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1300","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1310","2001-2010",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"0180C1310","2011-2020",..,..,..,..,..,5,5,5,5,5,5,5,5,5
"0180C1310","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1320","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1320","2011-2020",..,..,..,..,..,31,31,34,34,34,34,34,34,34
"0180C1320","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1330","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C1330","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1330","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,2,2
"0180C1340","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1340","2011-2020",..,..,..,..,..,..,..,5,..,5,5,5,5,5
"0180C1340","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1350","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1350","2011-2020",..,..,..,..,..,..,..,12,6,12,12,12,12,12
"0180C1350","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1360","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1360","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1360","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1370","2001-2010",4,4,4,4,4,4,4,4,3,4,4,4,4,4
"0180C1370","2011-2020",..,..,..,..,..,..,..,2,2,3,3,3,3,3
"0180C1370","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1380","2001-2010",30,30,30,30,30,30,30,30,30,30,30,30,30,30
"0180C1380","2011-2020",..,..,..,..,..,..,..,..,..,4,4,4,4,4
"0180C1380","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1390","2001-2010",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"0180C1390","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1390","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1400","2001-2010",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"0180C1400","2011-2020",..,..,..,..,..,..,3,3,3,3,3,3,3,3
"0180C1400","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1410","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C1410","2011-2020",..,..,..,..,..,..,..,1,1,1,3,3,3,3
"0180C1410","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1420","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1420","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1420","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1430","2001-2010",18,18,18,18,18,18,18,18,18,18,18,18,18,18
"0180C1430","2011-2020",1,1,1,4,7,7,8,9,10,11,11,11,11,11
"0180C1430","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,7,7
"0180C1440","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1440","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1440","2021-2030",..,..,..,..,..,..,..,..,..,..,..,3,3,3
"0180C1450","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1450","2011-2020",..,..,..,..,..,..,..,2,5,5,5,5,5,5
"0180C1450","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,4,4
"0180C1460","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1460","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1460","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,1,1
"0180C1470","2001-2010",4,4,4,4,4,5,5,5,5,5,5,5,5,5
"0180C1470","2011-2020",..,..,..,..,..,..,..,..,..,5,10,10,10,10
"0180C1470","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,1
"0180C1480","2001-2010",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"0180C1480","2011-2020",..,..,1,1,1,2,2,2,2,2,2,2,2,2
"0180C1480","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1490","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1490","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1490","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1500","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1500","2011-2020",..,..,..,..,..,..,2,2,3,3,3,3,3,3
"0180C1500","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1510","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C1510","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1510","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1520","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1520","2011-2020",..,..,9,13,13,13,13,13,13,13,13,13,13,13
"0180C1520","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1530","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1530","2011-2020",..,..,..,1,1,1,1,1,1,1,1,1,1,1
"0180C1530","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,2
"0180C1540","2001-2010",2,2,2,2,2,2,2,2,1,2,2,2,2,2
"0180C1540","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1540","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1550","2001-2010",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"0180C1550","2011-2020",..,..,..,18,24,24,27,27,28,28,29,29,29,29
"0180C1550","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,1,2
"0180C1560","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1560","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1560","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1570","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1570","2011-2020",..,..,..,..,..,..,..,..,3,4,6,6,6,6
"0180C1570","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1580","2001-2010",4,4,4,4,4,4,4,4,..,4,4,4,4,4
"0180C1580","2011-2020",..,..,..,..,..,..,3,9,9,9,9,9,9,9
"0180C1580","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1590","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1590","2011-2020",..,..,..,..,..,..,..,1,1,1,1,1,1,1
"0180C1590","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,6,6
"0180C1600","2001-2010",9,9,9,9,9,9,10,10,9,10,9,9,9,9
"0180C1600","2011-2020",..,..,1,2,2,3,3,4,14,15,16,16,16,16
"0180C1600","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,2,2
"0180C1610","2001-2010",48,48,49,49,49,49,49,49,49,49,49,49,48,48
"0180C1610","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
