"region","ålder","kön","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Stockholm (Abrahamsberg)","totalt","totalt",3034,3123,3145,3165,3216,3157,3210,3284,3373,3399,3324,3304,3318,3522
"Stockholm (Akalla)","totalt","totalt",8216,8258,8416,8527,8655,8619,8770,8835,9112,9318,9192,9371,9264,9459
"Stockholm (Alvik)","totalt","totalt",1030,1065,1107,1143,1358,1590,1603,1528,1528,1511,1530,1556,1585,1538
"Stockholm (Aspudden)","totalt","totalt",8478,8556,8652,8749,8872,8939,9059,9070,9085,9084,9010,9009,8932,8953
"Stockholm (Bagarmossen)","totalt","totalt",11031,11185,11240,11278,11371,11595,11680,11741,11676,11858,11761,11624,11625,11585
"Stockholm (Bandhagen)","totalt","totalt",5909,5964,6133,6283,6418,6383,6402,6485,6531,6652,6929,6903,6973,7263
"Stockholm (Beckomberga)","totalt","totalt",3420,3617,3573,3667,4256,4760,4988,5645,5703,5778,5803,5929,6091,6043
"Stockholm (Björkhagen)","totalt","totalt",6040,6111,6189,6243,6292,6505,6671,6719,6797,6757,6715,6663,6853,6674
"Stockholm (Blackeberg)","totalt","totalt",7109,7035,7700,8177,8285,8588,8867,9007,9106,9160,9082,9031,9117,9027
"Stockholm (Bredäng)","totalt","totalt",9505,9763,9789,10014,10022,10210,10547,10877,10740,10960,10728,10540,10718,10812
"Stockholm (Bromma kyrka)","totalt","totalt",2693,2705,2739,2747,2784,2791,2787,2751,2741,2771,2711,2728,2717,2709
"Stockholm (Bromsten)","totalt","totalt",5952,5991,6033,6178,6216,6184,6177,6215,6290,6110,5980,6359,6576,6628
"Stockholm (Bällsta)","totalt","totalt",851,834,867,864,872,846,849,831,808,775,785,776,843,832
"Stockholm (Djurgården)","totalt","totalt",793,813,827,841,826,852,868,880,875,868,852,828,815,849
"Stockholm (Eneby)","totalt","totalt",837,850,857,877,884,911,909,893,900,877,894,896,877,892
"Stockholm (Engelbrekts kyrka)","totalt","totalt",11692,11787,11863,11927,12206,12302,12361,12389,12409,12559,12464,12420,12409,12345
"Stockholm (Enskede Gård)","totalt","totalt",2928,2979,2973,2959,3006,2997,2989,2967,2969,3203,3319,3328,3334,3276
"Stockholm (Enskededalen)","totalt","totalt",2376,2396,2601,2706,2673,2679,2685,2698,2690,2802,2751,2775,2770,2768
"Stockholm (Enskedefältet)","totalt","totalt",1382,1409,1406,1420,1416,1443,1416,1483,1579,1660,1652,1644,1657,1667
"Stockholm (Fagersjö)","totalt","totalt",2691,2850,2881,2935,2978,2998,3025,3048,3084,3051,3020,2935,2874,2848
"Stockholm (Farsta)","totalt","totalt",12288,12696,13206,13759,13964,14033,14267,14275,14318,14279,14122,14613,15411,15763
"Stockholm (Flysta)","totalt","totalt",2272,2278,2272,2292,2309,2320,2349,2343,2320,2379,2367,2300,2325,2307
"Stockholm (Fredhäll)","totalt","totalt",5100,5155,5296,5332,5356,5349,5308,5322,5358,5411,5448,5361,5390,5354
"Stockholm (Fruängen)","totalt","totalt",7102,7518,7923,8273,9248,9602,9692,9713,9816,9764,9795,9769,9798,9696
"Stockholm (Gamla Enskede)","totalt","totalt",10669,10803,11081,11180,11293,11288,11279,11405,11397,11312,11080,10937,10843,10743
"Stockholm (Grimsta)","totalt","totalt",4308,4386,4413,4474,4486,4474,4438,4496,4762,4689,4831,4785,4746,4712
"Stockholm (Gröndal)","totalt","totalt",7703,7795,7790,7818,7909,8006,8164,8311,8859,9161,9204,9148,9113,9165
"Stockholm (Gubbängen)","totalt","totalt",5374,5389,5368,5384,5418,5425,5553,5746,5922,5858,5884,5920,5919,5898
"Stockholm (Gustav Vasa)","totalt","totalt",14340,14674,14775,14859,15091,15057,15196,15201,15278,15283,15246,15229,15097,15164
"Stockholm (Gärdet)","totalt","totalt",19740,20356,20616,20909,21249,21463,21583,21637,22148,22622,22788,22897,22895,22934
"Stockholm (Hagsätra)","totalt","totalt",8468,8632,8844,8903,9193,9482,9448,9469,9562,9718,9797,9928,9937,9946
"Stockholm (Hammarbyhöjden)","totalt","totalt",8796,8874,9012,9190,9623,9947,10133,10258,10338,10430,10752,10696,10763,10733
"Stockholm (Hedvig Eleonora)","totalt","totalt",10825,10841,10871,10919,10948,11029,11193,11300,11295,11330,11327,11225,11216,11187
"Stockholm (Herrängen)","totalt","totalt",3643,3703,3741,3764,3769,3810,3784,3831,3848,3904,3903,3886,3905,3898
"Stockholm (Hjorthagen-Värtahamnen)","totalt","totalt",2217,2242,2344,3396,4618,5545,6847,7988,8285,9066,9186,9506,9498,9487
"Stockholm (Husby)","totalt","totalt",11816,12004,12424,12168,12301,12023,11957,11937,11750,11917,11983,11876,11949,12011
"Stockholm (Hägersten)","totalt","totalt",8395,9154,9544,9782,9846,9864,9929,9991,10094,10173,10010,9862,9979,9863
"Stockholm (Hägerstensåsen)","totalt","totalt",7156,7285,7322,7425,7418,7459,7508,7446,7452,7758,7754,8367,8331,8530
"Stockholm (Hässelby Gård)","totalt","totalt",10303,10447,10637,10837,11055,11148,11182,11290,11859,11799,11589,11602,11564,11340
"Stockholm (Hässelby Strand)","totalt","totalt",6785,7078,7210,7376,7405,7587,7769,7854,8130,8251,8152,8224,8252,8267
