"region","utbildningsnivå","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Stockholm (Abrahamsberg)","eftergymnasial utbildning, mindre än 3 år",356,362,375,395,387,364,363,382,381
"Stockholm (Abrahamsberg)","eftergymnasial utbildning, 3 år eller mer",772,816,830,887,907,901,906,938,1037
"Stockholm (Akalla)","eftergymnasial utbildning, mindre än 3 år",788,797,788,785,777,761,751,757,757
"Stockholm (Akalla)","eftergymnasial utbildning, 3 år eller mer",1128,1189,1167,1260,1251,1255,1274,1296,1368
"Stockholm (Alvik)","eftergymnasial utbildning, mindre än 3 år",165,173,163,177,166,160,161,165,165
"Stockholm (Alvik)","eftergymnasial utbildning, 3 år eller mer",441,462,459,449,444,464,470,487,483
"Stockholm (Aspudden)","eftergymnasial utbildning, mindre än 3 år",1079,1071,1038,1035,1060,1031,1006,1001,1023
"Stockholm (Aspudden)","eftergymnasial utbildning, 3 år eller mer",2603,2680,2787,2837,2868,2923,2976,3016,3035
"Stockholm (Bagarmossen)","eftergymnasial utbildning, mindre än 3 år",1190,1223,1226,1208,1215,1208,1179,1182,1176
"Stockholm (Bagarmossen)","eftergymnasial utbildning, 3 år eller mer",2484,2588,2699,2761,2876,2886,2892,3006,3111
"Stockholm (Bandhagen)","eftergymnasial utbildning, mindre än 3 år",664,680,688,684,715,762,761,796,866
"Stockholm (Bandhagen)","eftergymnasial utbildning, 3 år eller mer",1036,1091,1139,1187,1266,1333,1358,1447,1589
"Stockholm (Beckomberga)","eftergymnasial utbildning, mindre än 3 år",410,423,496,490,500,509,494,509,518
"Stockholm (Beckomberga)","eftergymnasial utbildning, 3 år eller mer",971,1058,1244,1273,1304,1327,1265,1323,1368
"Stockholm (Björkhagen)","eftergymnasial utbildning, mindre än 3 år",760,775,769,763,780,768,767,795,774
"Stockholm (Björkhagen)","eftergymnasial utbildning, 3 år eller mer",1962,2063,2122,2187,2178,2208,2188,2287,2315
"Stockholm (Blackeberg)","eftergymnasial utbildning, mindre än 3 år",946,975,998,1007,999,963,981,1008,1001
"Stockholm (Blackeberg)","eftergymnasial utbildning, 3 år eller mer",1658,1785,1866,1946,2009,2070,2107,2218,2235
