"region","inkomstkomponent","kön","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Stockholm (Abrahamsberg)","nettoinkomst","totalt",286.4,294.7,305.4,323.3,338.5,354.0,353.4,346.3,344.1,346.4,359.1,348.4
"Stockholm (Akalla)","nettoinkomst","totalt",217.5,224.9,225.8,234.8,244.2,244.2,248.6,239.6,243.1,245.7,250.4,244.9
"Stockholm (Alvik)","nettoinkomst","totalt",336.9,336.5,348.4,538.5,499.5,465.9,519.8,461.0,484.7,505.3,470.5,529.5
"Stockholm (Aspudden)","nettoinkomst","totalt",277.2,281.7,292.0,317.4,335.2,336.6,347.2,337.4,342.1,341.4,372.3,353.1
"Stockholm (Bagarmossen)","nettoinkomst","totalt",234.2,237.6,248.2,262.8,278.4,285.2,294.1,287.1,290.3,293.5,312.6,301.1
"Stockholm (Bandhagen)","nettoinkomst","totalt",236.5,247.6,254.1,265.1,278.8,286.5,283.1,284.4,291.0,285.9,299.1,287.7
"Stockholm (Beckomberga)","nettoinkomst","totalt",320.7,308.0,321.8,354.2,423.5,374.0,400.7,368.8,387.1,388.8,407.8,388.4
"Stockholm (Björkhagen)","nettoinkomst","totalt",292.1,300.6,308.6,328.0,348.4,348.9,351.1,346.9,356.0,351.9,377.5,351.9
"Stockholm (Blackeberg)","nettoinkomst","totalt",238.9,268.0,269.8,291.4,309.6,307.7,305.5,301.4,302.8,310.9,322.7,311.8
"Stockholm (Bredäng)","nettoinkomst","totalt",207.3,208.3,214.5,222.3,230.4,233.2,238.6,238.8,240.0,244.9,256.6,254.6
"Stockholm (Bromma kyrka)","nettoinkomst","totalt",487.4,472.8,486.1,510.5,544.4,548.5,582.1,556.6,552.8,624.5,632.6,636.6
"Stockholm (Bromsten)","nettoinkomst","totalt",288.4,303.1,305.8,322.1,329.5,348.5,345.2,333.4,331.2,333.1,357.7,325.0
"Stockholm (Bällsta)","nettoinkomst","totalt",345.7,331.1,339.0,347.8,375.0,384.3,395.5,397.6,415.4,417.3,452.2,426.7
"Stockholm (Djurgården)","nettoinkomst","totalt",576.3,619.8,568.8,724.4,661.7,993.7,807.3,884.7,920.3,972.5,1315.8,2103.6
"Stockholm (Eneby)","nettoinkomst","totalt",380.9,379.3,388.2,457.8,439.2,458.9,449.2,424.4,432.2,455.3,438.5,439.9
"Stockholm (Engelbrekts kyrka)","nettoinkomst","totalt",572.1,601.6,650.6,800.5,758.8,836.7,772.7,1001.1,796.7,850.9,1050.8,930.3
"Stockholm (Enskede Gård)","nettoinkomst","totalt",325.1,343.7,353.1,371.4,388.3,384.3,430.6,398.3,414.9,424.7,440.9,423.6
"Stockholm (Enskededalen)","nettoinkomst","totalt",387.9,404.4,412.6,424.0,480.4,487.9,486.6,462.5,472.7,481.9,531.9,489.4
"Stockholm (Enskedefältet)","nettoinkomst","totalt",412.4,407.8,446.7,452.0,477.9,493.6,492.2,473.9,509.6,467.8,523.8,518.3
"Stockholm (Fagersjö)","nettoinkomst","totalt",229.4,232.9,235.5,244.1,259.2,255.8,259.4,259.1,261.3,266.4,285.7,273.9
"Stockholm (Farsta)","nettoinkomst","totalt",245.6,251.3,260.7,272.0,295.1,294.4,292.2,289.1,294.1,293.2,318.9,306.5
"Stockholm (Flysta)","nettoinkomst","totalt",376.9,374.4,385.5,403.1,463.9,430.7,423.9,438.7,454.3,432.6,486.5,432.3
"Stockholm (Fredhäll)","nettoinkomst","totalt",316.0,340.3,329.5,354.5,400.3,377.3,380.7,365.6,376.8,380.1,408.9,386.9
"Stockholm (Fruängen)","nettoinkomst","totalt",272.5,285.8,285.9,315.6,322.8,321.1,330.3,317.7,322.6,326.2,340.6,327.7
"Stockholm (Gamla Enskede)","nettoinkomst","totalt",314.4,328.6,339.4,357.2,409.0,445.3,383.4,370.3,383.7,401.8,445.5,466.5
"Stockholm (Grimsta)","nettoinkomst","totalt",216.6,220.7,224.9,233.6,239.0,243.7,244.8,246.2,245.7,249.5,256.6,246.8
"Stockholm (Gröndal)","nettoinkomst","totalt",314.8,321.1,332.2,348.5,373.1,388.1,385.5,388.4,385.6,378.7,408.1,387.6
"Stockholm (Gubbängen)","nettoinkomst","totalt",269.2,270.5,278.9,296.6,309.9,325.6,310.2,311.6,316.4,316.0,330.0,315.2
"Stockholm (Gustav Vasa)","nettoinkomst","totalt",402.1,411.1,428.2,456.3,493.8,497.4,502.4,489.6,514.5,525.4,575.8,571.3
"Stockholm (Gärdet)","nettoinkomst","totalt",363.4,362.2,379.7,409.6,443.1,437.8,441.3,453.3,451.4,470.7,513.7,483.7
"Stockholm (Hagsätra)","nettoinkomst","totalt",222.1,231.0,237.7,248.0,259.5,270.3,271.0,267.1,270.5,272.9,282.3,275.7
"Stockholm (Hammarbyhöjden)","nettoinkomst","totalt",291.4,295.7,311.0,331.5,358.0,353.5,351.2,343.9,357.5,360.0,386.4,365.1
"Stockholm (Hedvig Eleonora)","nettoinkomst","totalt",624.6,557.0,607.5,643.4,741.3,824.6,879.7,809.4,891.0,867.2,1062.0,918.5
