"region","kön","bakgrundsvariabel","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Stockholm (Abrahamsberg)","män och kvinnor","samtliga 20-64 år",8.5,7.6,9.5,10.3,9.2,9.1,9.6,9.0,8.2,6.8,8.2,8.4,8.8,12.0,11.0
"Stockholm (Akalla)","män och kvinnor","samtliga 20-64 år",14.3,11.9,15.0,18.4,17.7,18.6,20.8,20.3,18.6,19.8,19.4,19.3,18.5,22.2,22.6
"Stockholm (Alvik)","män och kvinnor","samtliga 20-64 år",8.0,7.0,6.4,9.0,8.9,7.5,8.0,8.2,7.8,7.3,6.9,5.3,5.9,9.0,9.1
"Stockholm (Aspudden)","män och kvinnor","samtliga 20-64 år",10.0,9.0,10.8,11.8,10.6,10.7,10.5,9.9,9.4,8.9,8.9,8.4,8.4,12.0,11.1
"Stockholm (Bagarmossen)","män och kvinnor","samtliga 20-64 år",13.5,13.2,15.6,17.7,16.9,17.0,17.1,16.6,15.0,14.0,13.1,13.0,12.3,16.0,15.0
"Stockholm (Bandhagen)","män och kvinnor","samtliga 20-64 år",11.9,10.6,13.9,16.5,15.6,15.0,15.2,14.9,14.0,13.0,12.4,12.0,11.9,16.9,15.8
"Stockholm (Beckomberga)","män och kvinnor","samtliga 20-64 år",9.3,9.4,10.7,9.6,10.1,11.3,12.3,11.8,9.9,9.2,8.2,7.8,8.4,10.6,10.7
"Stockholm (Björkhagen)","män och kvinnor","samtliga 20-64 år",9.1,7.6,8.6,11.7,10.8,10.0,10.3,9.2,8.8,8.3,8.2,8.0,7.8,11.8,10.5
"Stockholm (Blackeberg)","män och kvinnor","samtliga 20-64 år",13.5,12.4,14.5,16.4,15.5,15.0,15.1,13.8,12.7,12.6,13.0,12.5,12.8,16.7,15.1
"Stockholm (Bredäng)","män och kvinnor","samtliga 20-64 år",17.4,16.7,19.3,22.0,23.2,22.4,22.7,21.9,20.0,18.9,18.7,18.9,17.2,21.1,20.7
"Stockholm (Bromma kyrka)","män och kvinnor","samtliga 20-64 år",4.3,3.9,4.0,4.6,3.5,4.8,5.9,5.3,5.4,5.4,5.6,4.9,4.7,6.2,6.0
"Stockholm (Bromsten)","män och kvinnor","samtliga 20-64 år",8.3,7.6,9.3,10.7,11.7,10.5,12.6,12.8,12.5,12.1,11.4,11.0,10.9,13.6,16.7
"Stockholm (Bällsta)","män och kvinnor","samtliga 20-64 år",3.8,5.4,7.2,8.6,8.0,9.3,8.0,10.8,7.0,7.3,6.8,6.2,4.8,6.9,5.7
"Stockholm (Djurgården)","män och kvinnor","samtliga 20-64 år",5.1,4.6,5.8,7.0,8.5,7.0,6.7,6.0,6.7,6.6,6.1,6.4,4.2,8.4,5.7
"Stockholm (Eneby)","män och kvinnor","samtliga 20-64 år",5.1,5.8,5.8,6.3,4.5,5.4,6.5,6.0,6.5,6.1,3.8,6.0,5.3,7.5,8.0
"Stockholm (Engelbrekts kyrka)","män och kvinnor","samtliga 20-64 år",5.7,3.8,5.4,6.5,5.9,5.6,5.8,5.4,5.2,4.8,4.9,4.9,4.9,8.1,6.4
"Stockholm (Enskede Gård)","män och kvinnor","samtliga 20-64 år",9.0,7.3,9.5,10.2,10.5,10.6,10.7,10.2,10.2,8.4,8.4,9.2,9.7,11.8,11.1
"Stockholm (Enskededalen)","män och kvinnor","samtliga 20-64 år",8.2,6.7,6.4,8.6,8.6,7.1,6.3,5.1,6.1,5.0,6.3,6.2,10.7,12.7,11.2
"Stockholm (Enskedefältet)","män och kvinnor","samtliga 20-64 år",6.6,4.6,6.7,7.8,7.2,6.9,7.7,6.5,7.0,4.8,5.1,5.8,5.3,7.4,7.6
"Stockholm (Fagersjö)","män och kvinnor","samtliga 20-64 år",16.9,15.4,20.1,21.0,20.5,19.7,21.0,21.3,22.0,24.6,22.9,21.8,20.5,23.7,22.6
"Stockholm (Farsta)","män och kvinnor","samtliga 20-64 år",14.2,12.9,16.4,17.6,17.7,17.4,16.6,16.4,15.1,14.4,13.8,13.4,13.2,17.3,16.8
"Stockholm (Flysta)","män och kvinnor","samtliga 20-64 år",5.7,5.9,7.1,6.7,7.8,7.4,6.7,7.5,5.9,6.8,6.4,6.4,7.1,9.9,9.3
"Stockholm (Fredhäll)","män och kvinnor","samtliga 20-64 år",8.5,7.3,8.0,9.2,8.4,8.5,9.1,8.2,7.3,7.0,6.7,6.5,6.5,9.7,8.5
"Stockholm (Fruängen)","män och kvinnor","samtliga 20-64 år",10.3,9.1,10.7,12.2,11.4,11.1,11.5,10.3,9.9,9.2,9.5,9.5,8.5,11.7,10.6
"Stockholm (Gamla Enskede)","män och kvinnor","samtliga 20-64 år",10.5,9.0,11.2,12.4,12.4,11.7,11.0,11.0,9.9,9.9,9.8,10.0,9.8,13.1,11.9
"Stockholm (Grimsta)","män och kvinnor","samtliga 20-64 år",16.1,15.5,20.0,23.7,21.6,23.1,25.3,25.6,24.4,23.6,23.3,24.9,22.3,25.8,25.2
"Stockholm (Gröndal)","män och kvinnor","samtliga 20-64 år",9.5,8.3,9.6,11.2,9.9,9.2,9.8,9.4,9.1,8.5,7.8,7.5,8.3,11.2,9.3
"Stockholm (Gubbängen)","män och kvinnor","samtliga 20-64 år",12.0,9.8,11.6,13.1,12.2,12.7,11.7,11.9,11.4,10.2,10.7,11.5,10.5,13.4,13.3
"Stockholm (Gustav Vasa)","män och kvinnor","samtliga 20-64 år",6.5,5.7,6.8,7.7,7.2,6.8,7.1,7.0,6.6,6.3,6.0,5.9,5.9,9.0,7.8
"Stockholm (Gärdet)","män och kvinnor","samtliga 20-64 år",7.0,5.5,7.2,8.3,7.4,7.2,7.4,7.2,6.5,6.0,5.7,5.8,5.9,9.2,7.8
"Stockholm (Hagsätra)","män och kvinnor","samtliga 20-64 år",15.3,13.4,16.4,18.6,17.9,17.7,17.8,17.0,16.7,15.0,15.0,14.6,14.7,19.2,17.7
"Stockholm (Hammarbyhöjden)","män och kvinnor","samtliga 20-64 år",10.1,8.3,10.2,11.0,9.8,9.6,9.6,8.9,8.5,8.2,7.7,8.0,8.2,11.3,9.4
"Stockholm (Hedvig Eleonora)","män och kvinnor","samtliga 20-64 år",5.6,4.8,6.1,6.6,5.9,5.7,5.9,5.5,5.4,5.3,5.0,5.1,5.3,8.3,7.5
"Stockholm (Herrängen)","män och kvinnor","samtliga 20-64 år",4.2,3.5,4.7,5.1,4.5,4.3,5.2,5.4,4.1,3.8,4.3,3.4,4.0,6.4,5.4
"Stockholm (Hjorthagen-Värtahamnen)","män och kvinnor","samtliga 20-64 år",7.5,6.7,8.4,8.8,8.6,8.2,8.0,6.7,6.2,5.2,5.0,5.1,6.3,8.7,7.7
"Stockholm (Husby)","män och kvinnor","samtliga 20-64 år",18.4,15.4,21.6,24.7,25.3,25.7,26.1,25.2,25.6,26.2,26.1,24.2,22.6,27.7,28.1
"Stockholm (Hägersten)","män och kvinnor","samtliga 20-64 år",7.4,6.5,7.8,8.7,7.9,7.9,7.6,8.4,7.6,7.2,7.3,7.4,7.5,10.2,8.8
"Stockholm (Hägerstensåsen)","män och kvinnor","samtliga 20-64 år",9.3,8.3,10.2,11.9,10.4,9.7,10.2,9.8,9.6,9.0,9.4,9.3,8.7,12.6,12.2
"Stockholm (Hässelby Gård)","män och kvinnor","samtliga 20-64 år",16.8,16.5,19.7,22.9,22.6,22.5,23.6,23.4,23.2,22.5,22.6,21.6,20.3,24.3,24.4
"Stockholm (Hässelby Strand)","män och kvinnor","samtliga 20-64 år",16.0,15.0,19.3,21.7,21.0,21.8,22.8,21.5,20.7,19.3,18.5,17.0,16.6,20.2,20.7
"Stockholm (Hässelby Villastad)","män och kvinnor","samtliga 20-64 år",7.4,6.9,8.8,10.0,9.4,9.5,9.4,9.1,9.2,9.0,9.2,8.7,9.1,12.0,11.8
"Stockholm (Högdalen)","män och kvinnor","samtliga 20-64 år",13.9,12.4,15.0,16.6,16.2,16.1,17.0,16.0,15.2,14.5,13.9,13.3,12.3,16.7,15.2
"Stockholm (Höglandet)","män och kvinnor","samtliga 20-64 år",3.4,3.8,4.4,4.8,3.4,4.5,4.4,4.3,3.1,3.5,3.8,3.6,2.5,4.2,3.8
"Stockholm (Hökarängen)","män och kvinnor","samtliga 20-64 år",15.7,14.7,18.0,19.6,18.6,18.8,18.5,17.3,16.0,15.0,15.1,14.3,14.1,17.2,16.5
"Stockholm (Johanneshov)","män och kvinnor","samtliga 20-64 år",10.8,8.7,11.7,12.6,11.3,11.3,11.4,10.8,9.6,9.4,9.0,9.3,12.4,17.2,15.0
"Stockholm (Kista)","män och kvinnor","samtliga 20-64 år",9.2,7.4,9.9,11.5,12.2,12.7,13.5,13.1,13.2,12.8,13.3,13.4,13.5,17.3,17.8
"Stockholm (Klara-Jacob)","män och kvinnor","samtliga 20-64 år",5.9,5.9,6.7,12.0,13.0,14.7,16.4,16.4,7.2,7.3,7.1,7.0,7.9,10.8,10.2
"Stockholm (Kristineberg)","män och kvinnor","samtliga 20-64 år",7.5,6.7,8.9,9.3,8.4,7.5,7.3,6.9,6.2,5.8,5.9,6.3,6.0,9.1,8.0
"Stockholm (Kungsholm)","män och kvinnor","samtliga 20-64 år",6.1,5.2,6.3,7.2,6.4,6.5,6.6,6.2,6.1,5.6,5.6,5.6,5.4,8.3,7.8
"Stockholm (Kälvesta)","män och kvinnor","samtliga 20-64 år",5.7,6.0,6.7,7.7,7.0,7.1,8.4,8.5,8.5,7.3,6.9,6.7,7.0,9.3,8.9
"Stockholm (Kärrtorp)","män och kvinnor","samtliga 20-64 år",13.5,11.4,13.8,14.7,13.6,12.2,13.3,11.7,10.9,10.5,9.9,9.2,9.3,12.0,12.4
"Stockholm (Larsboda)","män och kvinnor","samtliga 20-64 år",8.8,6.8,9.7,11.2,9.2,9.8,10.0,9.0,12.1,10.2,16.2,17.7,10.5,11.0,10.3
"Stockholm (Liljeholmen)","män och kvinnor","samtliga 20-64 år",8.6,7.7,8.9,9.4,8.6,8.0,8.1,7.4,7.2,6.2,6.7,6.5,6.8,9.4,8.7
"Stockholm (Lilla Essingen)","män och kvinnor","samtliga 20-64 år",7.6,6.6,8.2,8.8,7.8,7.3,7.6,7.2,6.8,6.8,6.9,6.8,7.0,10.0,8.9
"Stockholm (Liseberg)","män och kvinnor","samtliga 20-64 år",7.2,6.1,7.8,6.3,6.0,5.1,6.4,4.9,5.9,5.3,5.0,5.4,5.1,7.2,7.6
"Stockholm (Långbro)","män och kvinnor","samtliga 20-64 år",6.0,4.8,5.8,6.6,6.4,6.5,7.0,6.4,6.4,6.5,6.6,6.9,6.1,7.9,7.0
"Stockholm (Långsjö)","män och kvinnor","samtliga 20-64 år",4.0,3.6,5.2,5.6,5.2,5.7,6.4,5.4,4.9,5.0,4.4,4.1,4.7,7.1,5.9
"Stockholm (Mariatorget)","män och kvinnor","samtliga 20-64 år",9.0,7.7,8.6,9.4,8.5,8.7,8.3,7.7,6.8,6.5,6.4,6.1,6.4,10.2,8.7
"Stockholm (Marieberg)","män och kvinnor","samtliga 20-64 år",6.8,6.1,7.2,7.5,7.2,7.6,8.4,6.4,7.2,6.4,6.1,5.9,5.9,8.3,7.8
"Stockholm (Mariehäll)","män och kvinnor","samtliga 20-64 år",7.5,6.6,8.4,9.0,8.1,7.3,7.4,7.9,7.1,6.3,6.4,5.8,6.6,9.3,8.3
"Stockholm (Mellersta Högalid)","män och kvinnor","samtliga 20-64 år",9.9,8.3,8.9,10.2,9.4,8.8,9.5,8.7,8.0,7.4,7.4,7.7,7.4,11.5,9.7
"Stockholm (Midsommarkransen)","män och kvinnor","samtliga 20-64 år",10.0,8.7,10.0,11.3,9.8,9.3,10.0,9.1,8.6,8.4,8.5,8.1,8.2,11.9,10.9
"Stockholm (Mälarhöjden)","män och kvinnor","samtliga 20-64 år",5.6,5.0,6.3,8.0,6.2,6.4,6.5,6.3,5.7,5.6,5.2,4.8,5.2,7.3,6.4
"Stockholm (Nockeby)","män och kvinnor","samtliga 20-64 år",3.5,3.1,3.9,4.6,4.7,4.2,4.5,4.9,5.1,4.1,4.5,4.4,5.1,7.2,6.6
"Stockholm (Nockebyhov-Olovslund)","män och kvinnor","samtliga 20-64 år",6.5,5.6,5.7,6.9,6.2,6.8,8.1,7.0,6.6,6.2,5.8,5.9,6.2,8.0,7.2
"Stockholm (Norra Adolf Fredrik)","män och kvinnor","samtliga 20-64 år",5.3,4.5,5.6,5.9,5.8,6.3,6.1,5.9,6.0,6.1,5.0,4.3,5.0,9.0,7.8
"Stockholm (Norra Högalid)","män och kvinnor","samtliga 20-64 år",9.6,8.3,9.4,10.0,9.1,8.8,8.7,8.3,8.1,7.4,7.1,7.0,7.1,11.3,10.1
"Stockholm (Norra Johannes)","män och kvinnor","samtliga 20-64 år",5.8,5.0,6.5,7.5,7.0,6.9,7.3,6.8,6.5,5.8,6.2,5.4,5.6,8.3,7.3
"Stockholm (Norra Skarpnäcks Gård)","män och kvinnor","samtliga 20-64 år",12.5,11.7,13.4,15.2,15.0,14.7,15.2,14.5,14.2,13.5,12.5,12.5,12.3,15.2,14.5
"Stockholm (Norra Sofia)","män och kvinnor","samtliga 20-64 år",9.2,8.5,9.5,10.6,10.2,9.4,8.9,9.1,7.9,7.8,7.0,6.9,7.3,11.1,10.3
"Stockholm (Norra Ängby)","män och kvinnor","samtliga 20-64 år",4.3,3.7,5.0,5.9,4.7,4.4,5.1,4.8,4.1,4.4,4.3,4.4,5.5,8.0,7.1
"Stockholm (Nälsta)","män och kvinnor","samtliga 20-64 år",6.5,6.1,7.3,7.6,8.0,7.6,8.2,8.0,8.0,8.2,7.5,7.5,8.3,10.0,9.1
"Stockholm (Oscars kyrka)","män och kvinnor","samtliga 20-64 år",5.4,4.4,5.9,6.1,5.9,5.8,5.8,5.9,5.2,4.8,4.9,4.7,5.0,7.7,6.5
"Stockholm (Reimersholme-Långholmen)","män och kvinnor","samtliga 20-64 år",7.1,6.2,7.3,7.6,6.2,7.1,6.4,6.2,6.4,6.0,6.2,6.1,5.9,8.7,7.4
"Stockholm (Riksby-Åkeshov)","män och kvinnor","samtliga 20-64 år",10.2,8.0,10.2,10.9,10.0,9.8,9.5,9.0,8.6,8.1,7.5,7.8,7.4,10.9,10.1
"Stockholm (Rinkeby)","män och kvinnor","samtliga 20-64 år",15.5,15.4,22.9,28.2,28.8,30.4,32.6,31.7,31.0,31.6,30.5,29.7,28.5,33.8,35.2
"Stockholm (Råcksta)","män och kvinnor","samtliga 20-64 år",12.2,10.3,12.8,14.5,14.4,14.2,14.2,14.6,13.8,13.5,15.8,15.9,15.5,19.2,18.4
"Stockholm (Rågsved)","män och kvinnor","samtliga 20-64 år",20.9,19.7,22.1,24.2,24.7,24.3,24.6,23.4,22.2,21.5,21.2,21.3,19.9,24.8,23.6
"Stockholm (Skärholmen)","män och kvinnor","samtliga 20-64 år",17.5,16.7,19.6,22.6,23.5,22.8,23.8,23.8,22.7,23.1,22.3,20.6,19.1,23.5,23.4
"Stockholm (Sköndal)","män och kvinnor","samtliga 20-64 år",8.2,6.5,8.7,9.8,9.0,9.1,9.7,8.9,7.6,9.6,11.1,11.3,10.6,12.6,11.0
"Stockholm (Smedslätten)","män och kvinnor","samtliga 20-64 år",4.0,3.6,4.4,4.7,4.8,4.6,4.6,4.1,4.6,4.1,3.6,3.5,3.1,6.6,6.1
"Stockholm (Solberga)","män och kvinnor","samtliga 20-64 år",14.4,12.6,13.7,16.2,15.7,14.5,14.9,14.4,13.7,12.7,12.2,11.8,11.5,14.8,14.2
"Stockholm (Solhem-Lunda)","män och kvinnor","samtliga 20-64 år",5.9,5.3,6.6,8.5,7.5,7.9,9.2,8.4,8.1,8.3,8.2,8.0,8.2,10.3,9.9
"Stockholm (Stadshagen)","män och kvinnor","samtliga 20-64 år",8.8,7.6,8.5,8.6,7.3,7.7,7.7,7.1,6.8,6.9,6.4,6.6,7.4,10.2,9.5
"Stockholm (Stora Essingen)","män och kvinnor","samtliga 20-64 år",7.1,6.0,7.3,8.1,7.4,6.5,7.3,7.3,6.7,5.9,6.5,6.6,6.9,10.1,8.5
"Stockholm (Stora Mossen)","män och kvinnor","samtliga 20-64 år",4.4,3.2,3.9,4.9,4.7,5.4,5.0,4.6,3.4,3.9,5.5,4.3,4.8,5.7,4.1
"Stockholm (Storkyrkan)","män och kvinnor","samtliga 20-64 år",8.1,5.4,7.2,8.2,7.0,6.8,7.4,6.9,7.1,7.0,7.1,6.2,5.8,11.5,11.3
"Stockholm (Stureby)","män och kvinnor","samtliga 20-64 år",9.4,7.5,8.9,10.4,10.8,9.9,9.7,8.7,7.8,8.0,7.6,7.2,7.5,10.9,9.5
"Stockholm (Sundby)","män och kvinnor","samtliga 20-64 år",4.8,5.2,7.2,8.0,7.8,8.6,10.2,9.1,7.9,8.2,7.6,7.8,6.8,10.1,10.1
"Stockholm (Svedmyra)","män och kvinnor","samtliga 20-64 år",11.3,9.3,11.2,14.5,13.4,13.2,12.7,11.8,12.3,10.7,8.5,8.8,9.5,11.9,11.2
"Stockholm (Sydvästra Skarpnäcks gård-Orhem)","män och kvinnor","samtliga 20-64 år",11.8,8.7,12.2,13.6,14.1,12.6,13.5,13.4,11.3,11.8,13.4,10.3,9.2,12.8,13.0
"Stockholm (Sätra)","män och kvinnor","samtliga 20-64 år",16.2,15.5,17.1,18.9,19.4,19.6,20.3,19.3,19.3,18.8,18.0,18.2,16.8,21.2,21.3
"Stockholm (Södra Adolf Fredrik)","män och kvinnor","samtliga 20-64 år",6.5,5.6,6.9,7.0,6.5,6.9,6.7,6.1,6.0,5.6,5.6,6.0,6.5,8.9,8.1
"Stockholm (Södra Hammarbyhamnen)","män och kvinnor","samtliga 20-64 år",5.7,5.0,6.0,6.5,5.9,6.1,6.4,6.2,5.9,5.7,5.3,5.9,5.9,8.7,7.6
"Stockholm (Södra Högalid)","män och kvinnor","samtliga 20-64 år",9.4,8.0,9.3,10.3,9.4,8.9,9.3,8.3,7.9,7.0,7.0,8.2,8.6,11.6,10.2
"Stockholm (Södra Johannes)","män och kvinnor","samtliga 20-64 år",6.7,6.6,7.2,5.9,5.3,5.9,6.5,5.3,5.0,6.1,6.4,5.1,4.7,7.7,6.5
"Stockholm (Södra Sofia)","män och kvinnor","samtliga 20-64 år",8.6,7.3,9.0,9.4,8.9,8.5,8.5,8.4,8.2,11.1,11.9,11.6,12.2,14.5,11.8
"Stockholm (Södra Station)","män och kvinnor","samtliga 20-64 år",8.7,7.8,8.9,9.0,8.1,8.5,8.3,7.9,7.5,7.2,6.0,7.0,7.2,9.3,8.8
"Stockholm (Södra Ängby)","män och kvinnor","samtliga 20-64 år",2.4,1.8,2.3,3.8,2.9,3.1,3.0,3.5,2.8,3.6,3.3,2.8,3.9,4.5,4.7
"Stockholm (Tallkrogen)","män och kvinnor","samtliga 20-64 år",8.5,6.9,9.2,11.5,9.7,9.6,9.6,9.6,8.6,9.3,8.7,8.8,8.8,11.0,9.9
"Stockholm (Tekniska Högskolan)","män och kvinnor","samtliga 20-64 år",5.7,4.3,5.6,6.7,5.8,6.2,7.1,6.8,6.5,6.2,6.2,5.4,4.8,7.0,5.9
"Stockholm (Tensta)","män och kvinnor","samtliga 20-64 år",19.1,18.1,23.5,26.8,27.6,28.1,29.0,30.0,29.1,28.8,29.2,27.0,25.5,29.5,30.5
"Stockholm (Traneberg)","män och kvinnor","samtliga 20-64 år",7.9,6.7,9.8,10.1,9.2,9.0,9.4,8.9,8.1,7.2,7.7,7.1,7.3,10.6,9.2
"Stockholm (Ulvsunda)","män och kvinnor","samtliga 20-64 år",7.5,6.4,8.0,9.2,8.9,8.4,8.9,8.1,6.6,7.6,6.5,6.9,6.8,10.6,8.5
"Stockholm (Ulvsunda Industriområde)","män och kvinnor","samtliga 20-64 år",9.6,8.5,10.3,12.1,11.5,12.1,11.7,10.7,10.1,9.9,14.8,13.7,12.6,14.9,14.6
"Stockholm (Universitetet)","män och kvinnor","samtliga 20-64 år",5.4,4.0,5.3,5.7,4.6,5.2,5.2,4.6,4.5,4.8,4.3,5.0,4.5,5.9,5.1
"Stockholm (Vinsta)","män och kvinnor","samtliga 20-64 år",8.8,8.9,12.3,12.7,12.6,12.7,12.7,12.9,12.5,12.7,12.5,10.9,11.4,15.3,15.0
"Stockholm (Vårberg)","män och kvinnor","samtliga 20-64 år",16.6,15.9,19.1,22.8,22.5,21.4,22.8,22.9,22.8,21.6,21.0,21.3,18.8,23.6,23.4
"Stockholm (Vällingby)","män och kvinnor","samtliga 20-64 år",12.2,12.3,14.7,16.3,16.0,16.0,16.5,16.8,15.5,15.4,14.7,14.7,14.0,17.7,17.5
"Stockholm (Västberga)","män och kvinnor","samtliga 20-64 år",11.5,10.2,11.5,11.5,10.8,9.5,10.1,9.7,9.1,8.5,8.9,9.3,9.2,13.2,11.3
"Stockholm (Västertorp)","män och kvinnor","samtliga 20-64 år",12.8,11.1,13.0,13.9,13.9,13.8,13.0,12.9,12.7,15.0,15.0,14.4,14.4,17.3,15.1
"Stockholm (Västra Farsta Strand-Farstanäset)","män och kvinnor","samtliga 20-64 år",9.0,6.7,8.3,8.9,8.8,9.2,9.3,7.6,8.7,7.8,6.6,7.8,8.0,10.9,9.3
"Stockholm (Västra Katarina)","män och kvinnor","samtliga 20-64 år",10.0,8.8,10.3,10.9,10.7,10.7,10.6,9.6,9.0,8.4,8.3,8.3,9.2,13.2,11.4
