region;year;Price
Brännkyrka-Skärholmen;2005;15 536
Brännkyrka-Skärholmen;2006;18 664
Brännkyrka-Skärholmen;2007;22 862
Brännkyrka-Skärholmen;2008;21 333
Brännkyrka-Skärholmen;2009;22 595
Brännkyrka-Skärholmen;2010;24 484
Brännkyrka-Skärholmen;2011;25 526
Brännkyrka-Skärholmen;2012;25 973
Brännkyrka-Skärholmen;2013;29 143
Brännkyrka-Skärholmen;2014;34 480
Brännkyrka-Skärholmen;2015;43 325
Brännkyrka-Skärholmen;2016;46 105
Brännkyrka-Skärholmen;2017;48 244
Brännkyrka-Skärholmen;2018;44 399
Brännkyrka-Skärholmen;2019;44 773
Brännkyrka-Skärholmen;2020;46 780
Brännkyrka-Skärholmen;2021;49 958
Brännkyrka-Skärholmen;2022;49 933
Brännkyrka-Skärholmen;2023;48 088
Bromma-Västerled;2005;23 326
Bromma-Västerled;2006;28 292
Bromma-Västerled;2007;32 154
Bromma-Västerled;2008;31 879
Bromma-Västerled;2009;31 890
Bromma-Västerled;2010;34 042
Bromma-Västerled;2011;36 040
Bromma-Västerled;2012;36 133
Bromma-Västerled;2013;40 012
Bromma-Västerled;2014;43 455
Bromma-Västerled;2015;52 526
Bromma-Västerled;2016;56 587
Bromma-Västerled;2017;58 521
Bromma-Västerled;2018;54 689
Bromma-Västerled;2019;55 828
Bromma-Västerled;2020;58 601
Bromma-Västerled;2021;63 077
Bromma-Västerled;2022;63 748
Bromma-Västerled;2023;61 564
Enskede-Skarpnäck;2005;20 562
Enskede-Skarpnäck;2006;25 395
Enskede-Skarpnäck;2007;30 568
Enskede-Skarpnäck;2008;28 811
Enskede-Skarpnäck;2009;29 315
Enskede-Skarpnäck;2010;32 566
Enskede-Skarpnäck;2011;33 926
Enskede-Skarpnäck;2012;35 458
Enskede-Skarpnäck;2013;38 588
Enskede-Skarpnäck;2014;45 659
Enskede-Skarpnäck;2015;54 204
Enskede-Skarpnäck;2016;58 107
Enskede-Skarpnäck;2017;60 286
Enskede-Skarpnäck;2018;55 861
Enskede-Skarpnäck;2019;57 271
Enskede-Skarpnäck;2020;59 825
Enskede-Skarpnäck;2021;65 579
Enskede-Skarpnäck;2022;65 722
Enskede-Skarpnäck;2023;62 965
Essingen;2005;33 086
Essingen;2006;38 889
Essingen;2007;46 363
Essingen;2008;44 283
Essingen;2009;44 687
Essingen;2010;48 524
Essingen;2011;51 005
Essingen;2012;50 437
Essingen;2013;54 334
Essingen;2014;61 281
Essingen;2015;71 702
Essingen;2016;77 573
Essingen;2017;79 291
Essingen;2018;74 794
Essingen;2019;74 194
Essingen;2020;80 501
Essingen;2021;85 725
Essingen;2022;86 980
Essingen;2023;83 761
Farsta-Vantör;2005;15 045
Farsta-Vantör;2006;17 982
Farsta-Vantör;2007;21 268
Farsta-Vantör;2008;20 460
Farsta-Vantör;2009;21 103
Farsta-Vantör;2010;22 928
Farsta-Vantör;2011;24 190
Farsta-Vantör;2012;26 330
Farsta-Vantör;2013;29 347
Farsta-Vantör;2014;34 317
Farsta-Vantör;2015;42 664
Farsta-Vantör;2016;46 211
Farsta-Vantör;2017;47 842
Farsta-Vantör;2018;43 510
Farsta-Vantör;2019;44 626
Farsta-Vantör;2020;46 312
Farsta-Vantör;2021;48 762
Farsta-Vantör;2022;49 247
Farsta-Vantör;2023;47 130
Hägersten-Liljeholmen;2005;23 700
Hägersten-Liljeholmen;2006;29 300
Hägersten-Liljeholmen;2007;33 995
Hägersten-Liljeholmen;2008;33 633
Hägersten-Liljeholmen;2009;32 690
Hägersten-Liljeholmen;2010;37 191
Hägersten-Liljeholmen;2011;38 428
Hägersten-Liljeholmen;2012;40 146
Hägersten-Liljeholmen;2013;44 279
Hägersten-Liljeholmen;2014;50 870
Hägersten-Liljeholmen;2015;60 811
Hägersten-Liljeholmen;2016;66 632
Hägersten-Liljeholmen;2017;68 368
Hägersten-Liljeholmen;2018;64 157
Hägersten-Liljeholmen;2019;65 058
Hägersten-Liljeholmen;2020;68 959
Hägersten-Liljeholmen;2021;75 376
Hägersten-Liljeholmen;2022;76 431
Hägersten-Liljeholmen;2023;72 204
Hässelby-Vällingby;2005;15 933
Hässelby-Vällingby;2006;16 551
Hässelby-Vällingby;2007;19 335
Hässelby-Vällingby;2008;19 993
Hässelby-Vällingby;2009;19 975
Hässelby-Vällingby;2010;22 754
Hässelby-Vällingby;2011;22 452
Hässelby-Vällingby;2012;23 594
Hässelby-Vällingby;2013;26 249
Hässelby-Vällingby;2014;30 005
Hässelby-Vällingby;2015;36 455
Hässelby-Vällingby;2016;43 236
Hässelby-Vällingby;2017;43 493
Hässelby-Vällingby;2018;40 162
Hässelby-Vällingby;2019;41 727
Hässelby-Vällingby;2020;41 657
Hässelby-Vällingby;2021;43 094
Hässelby-Vällingby;2022;44 367
Hässelby-Vällingby;2023;40 357
Kungsholmen;2005;37 897
Kungsholmen;2006;43 530
Kungsholmen;2007;51 980
Kungsholmen;2008;49 680
Kungsholmen;2009;49 989
Kungsholmen;2010;54 965
Kungsholmen;2011;56 866
Kungsholmen;2012;58 188
Kungsholmen;2013;63 369
Kungsholmen;2014;70 161
Kungsholmen;2015;82 394
Kungsholmen;2016;87 819
Kungsholmen;2017;90 184
Kungsholmen;2018;84 437
Kungsholmen;2019;86 901
Kungsholmen;2020;91 477
Kungsholmen;2021;99 696
Kungsholmen;2022;102 198
Kungsholmen;2023;99 178
Östermalm;2005;41 102
Östermalm;2006;48 270
Östermalm;2007;55 741
Östermalm;2008;54 130
Östermalm;2009;56 105
Östermalm;2010;60 923
Östermalm;2011;62 911
Östermalm;2012;63 928
Östermalm;2013;68 007
Östermalm;2014;74 319
Östermalm;2015;89 044
Östermalm;2016;93 772
Östermalm;2017;97 274
Östermalm;2018;92 969
Östermalm;2019;95 036
Östermalm;2020;102 277
Östermalm;2021;112 115
Östermalm;2022;115 067
Östermalm;2023;111 238
Södermalm;2005;36 351
Södermalm;2006;42 665
Södermalm;2007;49 361
Södermalm;2008;46 870
Södermalm;2009;47 757
Södermalm;2010;53 100
Södermalm;2011;54 275
Södermalm;2012;55 711
Södermalm;2013;60 645
Södermalm;2014;68 080
Södermalm;2015;81 216
Södermalm;2016;86 169
Södermalm;2017;88 410
Södermalm;2018;82 437
Södermalm;2019;83 917
Södermalm;2020;89 200
Södermalm;2021;99 161
Södermalm;2022;100 699
Södermalm;2023;96 942
Spånga-Kista;2005;11 163
Spånga-Kista;2006;13 655
Spånga-Kista;2007;17 201
Spånga-Kista;2008;17 205
Spånga-Kista;2009;17 867
Spånga-Kista;2010;18 646
Spånga-Kista;2011;19 131
Spånga-Kista;2012;20 566
Spånga-Kista;2013;23 104
Spånga-Kista;2014;25 967
Spånga-Kista;2015;34 119
Spånga-Kista;2016;37 200
Spånga-Kista;2017;36 477
Spånga-Kista;2018;34 710
Spånga-Kista;2019;33 749
Spånga-Kista;2020;34 913
Spånga-Kista;2021;35 491
Spånga-Kista;2022;35 274
Spånga-Kista;2023;33 428
Vasastan-Norrmalm;2005;39 705
Vasastan-Norrmalm;2006;46 704
Vasastan-Norrmalm;2007;54 390
Vasastan-Norrmalm;2008;51 703
Vasastan-Norrmalm;2009;54 107
Vasastan-Norrmalm;2010;59 000
Vasastan-Norrmalm;2011;61 039
Vasastan-Norrmalm;2012;62 774
Vasastan-Norrmalm;2013;68 074
Vasastan-Norrmalm;2014;74 944
Vasastan-Norrmalm;2015;89 322
Vasastan-Norrmalm;2016;94 951
Vasastan-Norrmalm;2017;98 713
Vasastan-Norrmalm;2018;93 168
Vasastan-Norrmalm;2019;95 579
Vasastan-Norrmalm;2020;102 700
Vasastan-Norrmalm;2021;113 836
Vasastan-Norrmalm;2022;116 557
Vasastan-Norrmalm;2023;112 071
